"MAKE","MODEL","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Power Trac","PT-EURO 47","740573","666516","606530","558007","518947","487810","458541","431029","405167","380857","358006","336525","316334","297354","279513","195659","183919","172884","162511","152760"
"Sonalika ","DI-47","707763","644064","592539","551061","512487","481738","452833","425663","400124","376116","353549","332336","312396","293652","276033","193223","181630","170732","160488","150859"
"Sonalika ","DI 740 ","690866","635597","584749","537969","500311","470293","442075","415551","390617","367180","345150","324441","304974","286676","269475","188633","177315","166676","156675","147275"
"Sonalika ","DI 42","713362","656293","603789","555486","516602","485606","456470","429082","403337","379136","356388","335005","314905","296010","278250","194775","183088","172103","161777","152070"
"Sonalika ","DI-35 MM","483536","425512","374450","337005","310045","291442","273956","257518","242067","227543","213890","201057","188994","177654","166995","116896","109883","103290","97092","91267"
"Sonalika ","DI-35 Rx","628100","577852","531624","489094","454857","427566","401912","377797","355129","333822","313792","294965","277267","260631","244993","171495","161205","151533","142441","133895"
"Sonalika ","DI-730","438597","385966","339650","305685","281230","264356","248495","233585","219570","206396","194012","182371","171429","161143","151475","106032","99670","93690","88069","82785"
"Sonalika ","DI-734","575424","529390","487039","448076","416711","391708","368205","346113","325346","305826","287476","270227","254014","238773","224447","157113","147686","138825","130495","122666"
"Sonalika ","DI-745III POWER PLUS","702285","632056","575171","529157","492116","462589","434834","408744","384219","361166","339496","319126","299979","281980","265061","185543","174410","163946","154109","144862"
"Sonalika ","DI-745III Rx POWER PLUS","679176","597675","525954","473358","435490","409360","384799","361711","340008","319608","300431","282405","265461","249533","234561","164193","154341","145081","136376","128193"
"Sonalika ","DI-750 III","678328","583362","507525","456773","411095","386430","363244","341449","320962","301705","283602","266586","250591","235556","221422","154996","145696","136954","128737","121013"
"Sonalika ","DI-750 III Rx","690224","593593","516426","464783","418305","393207","369614","347437","326591","306996","288576","271261","254986","239687","225305","157714","148251","139356","130995","123135"
"Sonalika ","ITL-50 MM","586829","504673","439065","395159","355643","334304","314246","295391","277668","261008","245347","230626","216789","203781","191555","134088","126043","118480","111372","104689"
"Sonalika ","DI - 55 ","700224","602192","523907","471517","424365","398903","374969","352471","331322","311443","292757","275191","258680","243159","228569","159999","150399","141375","132892","124919"
"Sonalika ","ITL 41 MM","545638","480161","422542","380288","349865","328873","309141","290592","273157","256767","241361","226880","213267","200471","188442","131910","123995","116555","109562","102988"
"Swaraj","SWARAJ 724","547271","503490","463211","426154","396323","372544","350191","329180","309429","290863","273411","257007","241586","227091","213466","149426","140460","132033","124111","116664"
"Swaraj","SWARAJ 735 FE","708915","652202","600026","552024","513382","482579","453624","426407","400822","376773","354167","332917","312942","294165","276515","193561","181947","171030","160768","151122"
